"","Character","Sex","speaking_turns","Total_Words","radius","diameter"
"1","Buddy","male",26,169,7.33446458612083,14.6689291722417
"2","Cat's Mom","female",1,2,0.797884560802865,1.59576912160573
"3","Chloe","female",27,284,9.50789186287878,19.0157837257576
"4","Chloe's Mom","female",1,7,1.49270533036046,2.98541066072092
"5","Derick","male",4,16,2.25675833419103,4.51351666838205
"6","Dogcatcher 1","male",8,47,3.86788891394752,7.73577782789505
"7","Dogcatcher 2","male",8,41,3.61257599692178,7.22515199384357
"8","Dragon","male",1,3,0.97720502380584,1.95441004761168
"9","Duke","male",102,855,16.4971195269702,32.9942390539404
"10","Female Corgi","female",1,4,1.12837916709551,2.25675833419103
"11","Female Dog","female",1,2,0.797884560802865,1.59576912160573
"12","Fernando","male",2,27,2.93161507141752,5.86323014283504
"13","Fluffy Cat","male",3,36,3.38513750128654,6.77027500257308
"14","Gidget","female",58,579,13.5757660594316,27.1515321188632
"15","Gidget's Mom","female",1,6,1.38197659788534,2.76395319577068
"16","Gino's Dad","male",1,3,0.97720502380584,1.95441004761168
"17","Girl Dog Walker","female",2,6,1.38197659788534,2.76395319577068
"18","Guillermo","male",4,21,2.58544147291321,5.17088294582641
"19","Guy Playing Fetch","male",1,2,0.797884560802865,1.59576912160573
"20","Katie","female",12,234,8.63044108762739,17.2608821752548
"21","Leonard's Dad","male",2,15,2.18509686118416,4.37019372236832
"22","Little Girl","female",4,30,3.09019361618552,6.18038723237103
"23","Male Cat","male",1,2,0.797884560802865,1.59576912160573
"24","Male Cat 2","male",2,5,1.26156626101008,2.52313252202016
"25","Male Dog","male",1,4,1.12837916709551,2.25675833419103
"26","Male Golden Retriever","male",1,5,1.26156626101008,2.52313252202016
"27","Male Turtle","male",1,2,0.797884560802865,1.59576912160573
"28","Man","male",1,2,0.797884560802865,1.59576912160573
"29","Maria","female",3,15,2.18509686118416,4.37019372236832
"30","Max","male",152,1659,22.9799064658433,45.9598129316867
"31","Mel","male",25,201,7.99876785029682,15.9975357005936
"32","Mel's Dad","male",1,3,0.97720502380584,1.95441004761168
"33","Nitro","male",2,22,2.64628371420061,5.29256742840123
"34","Norman","male",14,69,4.6865106579076,9.37302131581521
"35","Ozone","male",11,124,6.28254931431422,12.5650986286284
"36","Peanut","male",3,11,1.87120515925478,3.74241031850956
"37","Peppy's Dad","male",1,2,0.797884560802865,1.59576912160573
"38","Pops","male",27,261,9.11476166961975,18.2295233392395
"39","Retractable Leash Dog","male",1,8,1.59576912160573,3.19153824321146
"40","Runty's Dad","male",1,2,0.797884560802865,1.59576912160573
"41","Seamonkey","male",1,10,1.78412411615277,3.56824823230554
"42","Shelly's Mom","female",1,4,1.12837916709551,2.25675833419103
"43","Snowball","male",55,1045,18.2382518642018,36.4765037284036
"44","Sweetpea's Dad","male",1,2,0.797884560802865,1.59576912160573
"45","Tattoo","male",6,49,3.94932708483429,7.89865416966859
"46","Taxi Driver","male",1,1,0.564189583547756,1.12837916709551
"47","Tiberius","male",27,275,9.35602579627389,18.7120515925478
"48","Woman","female",2,5,1.26156626101008,2.52313252202016
